Title,Sex,Marital Status,UK Resident,Nationality,Pension Investment Approach,
Mr,Male,Single,Yes,British,Adventurous Targeting Annuity,I
Mrs,Female,Married,No,Unknown,Adventurous Targeting Encashment,M
Miss,,Divorced,,Afghan,Adventurous Targeting Flex Access,P
Ms,,Separated,,Alander,Balanced Targeting Annuity,J
Dr,,Widowed,,Albanian,Balanced Targeting Encashment,N
Mx,,,,Algerian,Balanced Targeting Flex Access,Q
Professor,,,,American,Cautious Targeting Annuity,K
Lady,,,,American Samoan,Cautious Targeting Encashment,L
Sir,,,,Andorran,Cautious Targeting Flex Access,O
Dame,,,,Angolan,Premier Adventurous Targeting Annuity,4
Lord,,,,Anguillan,Premier Adventurous Targeting Encashment,1
Rabbi,,,,Antiguan,Premier Adventurous Targeting Flex Access,7
Reverend,,,,Argentine,Premier Balanced Targeting Annuity,3
Other,,,,Armenian,Premier Balanced Targeting Encashment,9
,,,,Aruban,Premier Balanced Targeting Flex Access,6
,,,,Australian,Premier Cautious Targeting Annuity,2
,,,,Austrian,Premier Cautious Targeting Encashment,8
,,,,Azerbaijani,Premier Cautious Targeting Flex Access,5
,,,,Bahamian,,
,,,,Bahraini,,
,,,,Bangladeshi,,
,,,,Barbadian,,
,,,,Basotho,,
,,,,Batswana,,
,,,,Belarusian,,
,,,,Belgian,,
,,,,Belizean,,
,,,,Beninese,,
,,,,Bermudan,,
,,,,Bhutanese,,
,,,,Bolivian,,
,,,,Bosnian,,
,,,,Brazilian,,
,,,,British Virgin Islan,,
,,,,Bruneian,,
,,,,Bulgarian,,
,,,,Burkinabe,,
,,,,Burmese,,
,,,,Burundian,,
,,,,Cambodian,,
,,,,Cameroonian,,
,,,,Canadian,,
,,,,Cape Verdean,,
,,,,Caymanian,,
,,,,Central African,,
,,,,Chadian,,
,,,,Chilean,,
,,,,Chinese,,
,,,,Christmas Islander,,
,,,,Cocos Islander,,
,,,,Colombian,,
,,,,Comoran,,
,,,,Congolese,,
,,,,Cook Islander,,
,,,,Costa Rican,,
,,,,Croatian,,
,,,,Cuban,,
,,,,Cypriot,,
,,,,Czech,,
,,,,Danish,,
,,,,Djiboutian,,
,,,,Dominican,,
,,,,Dominican Republican,,
,,,,Dutch,,
,,,,Dutch Antillean,,
,,,,Ecuadorian,,
,,,,Egyptian,,
,,,,Emirian,,
,,,,Equatorial Guinean,,
,,,,Eritrean,,
,,,,Estonian,,
,,,,Ethiopian,,
,,,,Falkland Islander,,
,,,,Faroese,,
,,,,Fijian,,
,,,,Filipino,,
,,,,Finnish,,
,,,,French,,
,,,,French Guianese,,
,,,,French Polynesian,,
,,,,Gabonese,,
,,,,Gambian,,
,,,,Georgian,,
,,,,German,,
,,,,Ghanaian,,
,,,,Gibraltarian,,
,,,,Greek,,
,,,,Greenlander,,
,,,,Grenadian,,
,,,,Guadeloupian,,
,,,,Guamanian,,
,,,,Guatamalan,,
,,,,Guinea-Bissauan,,
,,,,Guinean,,
,,,,Guyanese,,
,,,,Haitian,,
,,,,HK Chinese,,
,,,,Honduran,,
,,,,Hungarian,,
,,,,Icelander,,
,,,,I-Kiribati,,
,,,,Indian,,
,,,,Indonesian,,
,,,,Iranian,,
,,,,Iraqi,,
,,,,Irish,,
,,,,Israeli,,
,,,,Italian,,
,,,,Ivorian,,
,,,,Jamaican,,
,,,,Japanese,,
,,,,Jordanian,,
,,,,Kazakhstani,,
,,,,Kenyan,,
,,,,Kuwaiti,,
,,,,Kyrgyz,,
,,,,Laotian,,
,,,,Latvian,,
,,,,Lebanese,,
,,,,Liberian,,
,,,,Libyan,,
,,,,Liechtensteiner,,
,,,,Lithuanian,,
,,,,Luxembourger,,
,,,,Macanese,,
,,,,Macedonian,,
,,,,Madagascan,,
,,,,Mahorais,,
,,,,Malawian,,
,,,,Malaysian,,
,,,,Maldivian,,
,,,,Malian,,
,,,,Maltese,,
,,,,Marshall Islander,,
,,,,Martiniquais,,
,,,,Mauritanian,,
,,,,Mauritian,,
,,,,Mexican,,
,,,,Micronesian,,
,,,,Moldovan,,
,,,,Monegasque,,
,,,,Mongolian,,
,,,,Montenegran,,
,,,,Montserratian,,
,,,,Moroccan,,
,,,,Mozambican,,
,,,,Namibian,,
,,,,Nauruan,,
,,,,Nepalese,,
,,,,Nevisian,,
,,,,New Caledonian,,
,,,,New Zealander,,
,,,,Nicaraguan,,
,,,,Nigerian,,
,,,,Nigerien,,
,,,,Niuean,,
,,,,Ni-Vanuatu,,
,,,,Norfolk Islander,,
,,,,North Korean,,
,,,,Northern Mariana Isl,,
,,,,Norwegian,,
,,,,Omani,,
,,,,Pakistani,,
,,,,Palauan,,
,,,,Palestinian,,
,,,,Panamanian,,
,,,,Papua New Guinean,,
,,,,Paraguayan,,
,,,,Peruvian,,
,,,,Pitcairn Islander,,
,,,,Polish,,
,,,,Portuguese,,
,,,,Puerto Rican,,
,,,,Qatari,,
,,,,Reunionese,,
,,,,Romanian,,
,,,,Russian,,
,,,,Rwandan,,
,,,,Sahrawi,,
,,,,Saint Helenian,,
,,,,Saint Lucian,,
,,,,Salvadoran,,
,,,,Sammarinese,,
,,,,Samoan,,
,,,,Sao Tomean,,
,,,,Saudi Arabian,,
,,,,Senegalese,,
,,,,Serbia Montenegran,,
,,,,Serbian,,
,,,,Seychelloise,,
,,,,Sierra Leonean,,
,,,,Singaporean,,
,,,,Slovak,,
,,,,Slovene,,
,,,,Solomon Islander,,
,,,,Somalian,,
,,,,South African,,
,,,,South Korean,,
,,,,Spanish,,
,,,,Sri Lankan,,
,,,,Sudanese,,
,,,,Surinamese,,
,,,,Swazi,,
,,,,Swedish,,
,,,,Swiss,,
,,,,Syrian,,
,,,,Taiwan Chinese,,
,,,,Tajik,,
,,,,Tanzanian,,
,,,,Thai,,
,,,,Timorese,,
,,,,Togolese,,
,,,,Tokelauan,,
,,,,Tongan,,
,,,,Trinidadian,,
,,,,Tunisian,,
,,,,Turkish,,
,,,,Turkmen,,
,,,,Turks and Caicos Isl,,
,,,,Tuvaluan,,
,,,,Ugandan,,
,,,,Ukrainian,,
,,,,Uruguayan,,
,,,,Uzbek,,
,,,,Venezuelan,,
,,,,Vietnamese,,
,,,,Vincentian,,
,,,,Virgin Islander,,
,,,,Wallis and Fortuna I,,
,,,,Yemeni,,
,,,,Zairian,,
,,,,Zambian,,
,,,,Zimbabwean,,
